electricity_cost,billing_periods,heated_square_footage,engineered_total_square_footage,heating_degree_days,cooling_degree_days,NUMFRIG,NUMFREEZ,NUMLAPTOP,NUMTABLET,NUMSMPHONE,NUMCFAN,NUMFLOORFAN,NUMWWAC,NUMPORTAC,NUMMEAL,state_postal,BA_climate,IECC_climate_code,KOWNRENT,home_size,num_appliances,temp_hdd,temp_cdd,temp_degree_days,bill_amount,bill_per_period,month_periods,log_bill_amount
526.47,1,900,900,5307,1323,1,0,4,2,2,0,0,0.0,0.0,1,UT,Cold,5B,2,900,10.0,5307,1323,6630,526.47,526.47,1,6.266194349893625
1613.23,1,810,1220,4584,1130,1,0,2,0,2,4,2,0.0,0.0,3,CT,Cold,5A,1,810,14.0,4584,1130,5714,1613.23,1613.23,1,7.385993659404528
476.18,1,1500,1500,2039,3251,1,0,1,1,0,6,0,0.0,0.0,5,TX,Hot-Dry,3B,1,1500,14.0,2039,3251,5290,476.18,476.18,1,6.165795934010756
523.91,1,760,760,8680,660,1,0,0,0,1,0,2,1.0,0.0,4,ND,Very-Cold,7A,2,760,9.0,8680,660,9340,523.91,523.91,1,6.261319913844147
815.15,1,920,920,7353,447,1,0,1,1,1,1,2,2.0,0.0,1,ME,Cold,6A,1,920,10.0,7353,447,7800,815.15,815.15,1,6.703372145385663
1189.87,1,2200,2200,3803,1197,1,0,1,0,2,6,0,0.0,0.0,2,TN,Mixed-Humid,4A,1,2200,12.0,3803,1197,5000,1189.87,1189.87,1,7.0815993364405685
1640.07,1,670,670,7565,308,1,0,0,0,3,1,2,0.0,0.0,2,WI,Cold,6A,2,670,9.0,7565,308,7873,1640.07,1640.07,1,7.402494202834183
762.16,1,2550,2550,5893,620,2,1,1,1,0,5,0,0.0,1.0,4,OH,Cold,5A,1,2550,15.0,5893,620,6513,762.16,762.16,1,6.636156507398524
4224.74,1,1130,1130,2367,1894,2,0,3,1,8,1,4,0.0,0.0,2,CA,Hot-Dry,3B,1,1130,21.0,2367,1894,4261,4224.74,4224.74,1,8.348712999436167
1737.58,1,1960,1960,3704,1462,1,1,1,2,2,0,0,0.0,0.0,1,TN,Mixed-Humid,4A,1,1960,8.0,3704,1462,5166,1737.58,1737.58,1,7.460248619544461
901.36,1,2780,2780,6779,657,1,0,0,0,1,1,2,0.0,0.0,3,IL,Cold,5A,1,2780,8.0,6779,657,7436,901.36,901.36,1,6.80390473385591
1038.22,5,1200,1800,6445,569,1,0,2,2,2,0,4,3.0,0.0,1,MA,Cold,5A,2,1200,15.0,6445,569,7014,1038.22,207.644,5,6.945262987318539
1105.83,1,900,900,3731,1240,1,0,2,1,3,2,2,0.0,0.0,3,TN,Mixed-Humid,4A,1,900,14.0,3731,1240,4971,1105.83,1105.83,1,7.008351463215699
1152.5,1,1400,1400,4850,1137,1,1,2,2,5,1,3,0.0,0.0,2,OH,Cold,5A,2,1400,17.0,4850,1137,5987,1152.5,1152.5,1,7.049688774870804
1925.41,1,4740,4740,5510,749,2,1,1,2,2,0,0,0.0,0.0,2,ID,Cold,5B,1,4740,10.0,5510,749,6259,1925.41,1925.41,1,7.562894211056358
1181.06,5,1440,1800,7271,468,1,0,1,2,2,0,1,0.0,0.0,3,ME,Cold,6A,1,1440,10.0,7271,468,7739,1181.06,236.212,5,7.07416761930991
1224.72,1,750,1500,3101,2244,1,0,1,2,2,4,2,1.0,0.0,1,OK,Mixed-Humid,3A,2,750,14.0,3101,2244,5345,1224.72,1224.72,1,7.110467525423826
1541.23,1,2300,2300,2320,1963,2,0,0,0,0,3,0,0.0,0.0,6,NC,Mixed-Humid,3A,1,2300,11.0,2320,1963,4283,1541.23,1541.23,1,7.3403360779142295
1505.68,1,1800,1800,7330,620,2,1,4,1,2,2,2,0.0,0.0,2,WI,Cold,6A,1,1800,16.0,7330,620,7950,1505.68,1505.68,1,7.3169999023823085
874.62,1,1440,1440,258,4472,2,0,1,2,2,3,0,0.0,0.0,2,FL,Hot-Humid,2A,1,1440,12.0,258,4472,4730,874.62,874.62,1,6.773789506313976
1428.49,1,1600,2400,3247,1877,1,1,2,6,3,6,0,0.0,0.0,2,OK,Mixed-Humid,3A,1,1600,21.0,3247,1877,5124,1428.49,1428.49,1,7.2643732212963075
1953.59,1,1500,1500,1782,4219,1,0,1,0,0,4,0,0.0,0.0,3,NV,Hot-Dry,3B,1,1500,9.0,1782,4219,6001,1953.59,1953.59,1,7.57742398458822
3356.34,1,750,750,6168,749,1,8,1,2,1,3,1,1.0,0.0,1,MI,Cold,5A,2,750,19.0,6168,749,6917,3356.34,3356.34,1,8.1186063735401
1275.79,1,3170,3170,4292,1240,1,1,2,4,3,3,3,0.0,0.0,1,WA,Cold,5B,1,3170,18.0,4292,1240,5532,1275.79,1275.79,1,7.151320873557979
1127.29,1,3030,4550,3302,1663,2,1,2,1,2,2,0,0.0,0.0,2,TN,Mixed-Humid,4A,1,3030,12.0,3302,1663,4965,1127.29,1127.29,1,7.027571801258013
739.4,1,1350,1690,7388,555,2,0,0,1,1,1,1,0.0,0.0,2,NY,Cold,6A,1,1350,8.0,7388,555,7943,739.4,739.4,1,6.605839046502531
526.26,1,1060,1060,2717,1706,1,0,2,1,2,4,0,0.0,0.0,3,NC,Mixed-Humid,3A,1,1060,13.0,2717,1706,4423,526.26,526.26,1,6.265795387191345
